customer_id,month,mrr,segment
C0001,2024-01-01,44.58,Mid-Market
C0001,2024-02-01,44.58,Mid-Market
C0001,2024-03-01,44.58,Mid-Market
C0001,2024-04-01,44.58,Mid-Market
C0001,2024-05-01,44.58,Mid-Market
C0001,2024-06-01,44.58,Mid-Market
C0001,2024-07-01,44.58,Mid-Market
C0001,2024-08-01,44.58,Mid-Market
C0001,2024-09-01,44.58,Mid-Market
C0001,2024-10-01,44.58,Mid-Market
C0001,2024-11-01,44.58,Mid-Market
C0001,2024-12-01,44.58,Mid-Market
C0001,2025-01-01,44.58,Mid-Market
C0001,2025-02-01,44.58,Mid-Market
C0001,2025-03-01,44.58,Mid-Market
C0001,2025-04-01,44.58,Mid-Market
C0001,2025-05-01,44.58,Mid-Market
C0001,2025-06-01,44.58,Mid-Market
C0001,2025-07-01,44.58,Mid-Market
C0001,2025-08-01,44.58,Mid-Market
C0001,2025-09-01,47.65,Mid-Market
C0002,2023-10-01,55.92,Mid-Market
C0002,2023-11-01,55.92,Mid-Market
C0002,2023-12-01,55.92,Mid-Market
C0002,2024-01-01,55.92,Mid-Market
C0002,2024-02-01,55.92,Mid-Market
C0002,2024-03-01,55.92,Mid-Market
C0002,2024-04-01,55.92,Mid-Market
C0002,2024-05-01,55.92,Mid-Market
C0002,2024-06-01,55.92,Mid-Market
C0002,2024-07-01,55.92,Mid-Market
C0002,2024-08-01,55.92,Mid-Market
C0002,2024-09-01,59.71,Mid-Market
C0002,2024-10-01,59.71,Mid-Market
C0003,2023-10-01,126.64,Enterprise
C0003,2023-11-01,126.64,Enterprise
C0003,2023-12-01,126.64,Enterprise
C0003,2024-01-01,126.64,Enterprise
C0003,2024-02-01,126.64,Enterprise
C0003,2024-03-01,126.64,Enterprise
C0003,2024-04-01,126.64,Enterprise
C0003,2024-05-01,126.64,Enterprise
C0003,2024-06-01,126.64,Enterprise
C0003,2024-07-01,126.64,Enterprise
C0003,2024-08-01,126.64,Enterprise
C0003,2024-09-01,126.64,Enterprise
C0003,2024-10-01,126.64,Enterprise
C0003,2024-11-01,126.64,Enterprise
C0003,2024-12-01,126.64,Enterprise
C0003,2025-01-01,126.64,Enterprise
C0003,2025-02-01,126.64,Enterprise
C0003,2025-03-01,126.64,Enterprise
C0003,2025-04-01,126.64,Enterprise
C0003,2025-05-01,126.64,Enterprise
C0003,2025-06-01,126.64,Enterprise
C0003,2025-07-01,151.78,Enterprise
C0003,2025-08-01,151.78,Enterprise
C0003,2025-09-01,151.78,Enterprise
C0004,2022-09-01,121.04,Enterprise
C0004,2022-10-01,121.04,Enterprise
C0004,2022-11-01,121.04,Enterprise
C0004,2022-12-01,121.04,Enterprise
C0004,2023-01-01,121.04,Enterprise
C0004,2023-02-01,121.04,Enterprise
C0004,2023-03-01,121.04,Enterprise
C0004,2023-04-01,121.04,Enterprise
C0004,2023-05-01,121.04,Enterprise
C0004,2023-06-01,121.04,Enterprise
C0004,2023-07-01,121.04,Enterprise
C0004,2023-08-01,121.04,Enterprise
C0004,2023-09-01,121.04,Enterprise
C0004,2023-10-01,121.04,Enterprise
C0004,2023-11-01,121.04,Enterprise
C0004,2023-12-01,121.04,Enterprise
C0004,2024-01-01,121.04,Enterprise
C0004,2024-02-01,121.04,Enterprise
C0004,2024-03-01,121.04,Enterprise
C0004,2024-04-01,121.04,Enterprise
C0004,2024-05-01,121.04,Enterprise
C0004,2024-06-01,121.04,Enterprise
C0004,2024-07-01,121.04,Enterprise
C0004,2024-08-01,121.04,Enterprise
C0004,2024-09-01,121.04,Enterprise
C0004,2024-10-01,121.04,Enterprise
C0004,2024-11-01,121.04,Enterprise
C0004,2024-12-01,121.04,Enterprise
C0004,2025-01-01,121.04,Enterprise
C0004,2025-02-01,121.04,Enterprise
C0004,2025-03-01,121.04,Enterprise
C0004,2025-04-01,121.04,Enterprise
C0004,2025-05-01,121.04,Enterprise
C0004,2025-06-01,121.04,Enterprise
C0004,2025-07-01,121.04,Enterprise
C0004,2025-08-01,121.04,Enterprise
C0004,2025-09-01,121.04,Enterprise
C0005,2022-06-01,304.07,Enterprise
C0005,2022-07-01,304.07,Enterprise
C0005,2022-08-01,304.07,Enterprise
C0005,2022-09-01,304.07,Enterprise
C0005,2022-10-01,304.07,Enterprise
C0005,2022-11-01,304.07,Enterprise
C0005,2022-12-01,304.07,Enterprise
C0005,2023-01-01,304.07,Enterprise
C0005,2023-02-01,304.07,Enterprise
C0005,2023-03-01,304.07,Enterprise
C0005,2023-04-01,304.07,Enterprise
C0005,2023-05-01,335.33,Enterprise
C0005,2023-06-01,335.33,Enterprise
C0005,2023-07-01,335.33,Enterprise
C0005,2023-08-01,335.33,Enterprise
C0005,2023-09-01,392.45,Enterprise
C0005,2023-10-01,392.45,Enterprise
C0005,2023-11-01,432.35,Enterprise
C0005,2023-12-01,432.35,Enterprise
C0005,2024-01-01,432.35,Enterprise
C0005,2024-02-01,432.35,Enterprise
C0005,2024-03-01,432.35,Enterprise
C0005,2024-04-01,432.35,Enterprise
C0005,2024-05-01,432.35,Enterprise
C0005,2024-06-01,432.35,Enterprise
C0005,2024-07-01,432.35,Enterprise
C0005,2024-08-01,432.35,Enterprise
C0005,2024-09-01,432.35,Enterprise
C0005,2024-10-01,471.04,Enterprise
C0005,2024-11-01,471.04,Enterprise
C0005,2024-12-01,471.04,Enterprise
C0005,2025-01-01,471.04,Enterprise
C0005,2025-02-01,471.04,Enterprise
C0005,2025-03-01,471.04,Enterprise
C0005,2025-04-01,471.04,Enterprise
C0005,2025-05-01,471.04,Enterprise
C0005,2025-06-01,471.04,Enterprise
C0005,2025-07-01,471.04,Enterprise
C0005,2025-08-01,471.04,Enterprise
C0005,2025-09-01,471.04,Enterprise
C0006,2023-02-01,128.1,Mid-Market
C0006,2023-03-01,128.1,Mid-Market
C0006,2023-04-01,128.1,Mid-Market
C0006,2023-05-01,128.1,Mid-Market
C0006,2023-06-01,128.1,Mid-Market
C0006,2023-07-01,128.1,Mid-Market
C0006,2023-08-01,128.1,Mid-Market
C0006,2023-09-01,128.1,Mid-Market
C0006,2023-10-01,128.1,Mid-Market
C0006,2023-11-01,128.1,Mid-Market
C0006,2023-12-01,128.1,Mid-Market
C0006,2024-01-01,128.1,Mid-Market
C0006,2024-02-01,128.1,Mid-Market
C0006,2024-03-01,128.1,Mid-Market
C0006,2024-04-01,128.1,Mid-Market
C0006,2024-05-01,128.1,Mid-Market
C0006,2024-06-01,128.1,Mid-Market
C0006,2024-07-01,128.1,Mid-Market
C0006,2024-08-01,128.1,Mid-Market
C0006,2024-09-01,128.1,Mid-Market
C0007,2022-11-01,1394.01,Mid-Market
C0007,2022-12-01,1394.01,Mid-Market
C0007,2023-01-01,1394.01,Mid-Market
C0007,2023-02-01,1394.01,Mid-Market
C0007,2023-03-01,1394.01,Mid-Market
C0007,2023-04-01,1394.01,Mid-Market
C0007,2023-05-01,1394.01,Mid-Market
C0007,2023-06-01,1394.01,Mid-Market
C0007,2023-07-01,1394.01,Mid-Market
C0007,2023-08-01,1394.01,Mid-Market
C0007,2023-09-01,1394.01,Mid-Market
C0007,2023-10-01,1394.01,Mid-Market
C0007,2023-11-01,1394.01,Mid-Market
C0007,2023-12-01,1243.16,Mid-Market
C0007,2024-01-01,1243.16,Mid-Market
C0007,2024-02-01,1243.16,Mid-Market
C0007,2024-03-01,1243.16,Mid-Market
C0007,2024-04-01,1243.16,Mid-Market
C0007,2024-05-01,1243.16,Mid-Market
C0007,2024-06-01,1243.16,Mid-Market
C0007,2024-07-01,1243.16,Mid-Market
C0007,2024-08-01,1243.16,Mid-Market
C0007,2024-09-01,1368.43,Mid-Market
C0007,2024-10-01,1368.43,Mid-Market
C0007,2024-11-01,1368.43,Mid-Market
C0007,2024-12-01,1368.43,Mid-Market
C0008,2024-12-01,47.87,Mid-Market
C0008,2025-01-01,47.87,Mid-Market
C0008,2025-02-01,47.87,Mid-Market
C0008,2025-03-01,47.87,Mid-Market
C0008,2025-04-01,47.87,Mid-Market
C0009,2024-11-01,51.48,Mid-Market
C0009,2024-12-01,51.48,Mid-Market
C0009,2025-01-01,51.48,Mid-Market
C0009,2025-02-01,51.48,Mid-Market
C0009,2025-03-01,51.48,Mid-Market
C0009,2025-04-01,51.48,Mid-Market
C0009,2025-05-01,51.48,Mid-Market
C0009,2025-06-01,51.48,Mid-Market
C0009,2025-07-01,51.48,Mid-Market
C0009,2025-08-01,51.48,Mid-Market
C0009,2025-09-01,51.48,Mid-Market
C0010,2023-01-01,49.54,SMB
C0010,2023-02-01,49.54,SMB
C0010,2023-03-01,42.87,SMB
C0010,2023-04-01,42.87,SMB
C0010,2023-05-01,42.87,SMB
C0010,2023-06-01,42.87,SMB
C0011,2024-06-01,125.6,Mid-Market
C0011,2024-07-01,125.6,Mid-Market
C0011,2024-08-01,125.6,Mid-Market
C0011,2024-09-01,125.6,Mid-Market
C0011,2024-10-01,125.6,Mid-Market
C0011,2024-11-01,125.6,Mid-Market
C0011,2024-12-01,125.6,Mid-Market
C0011,2025-01-01,134.54,Mid-Market
C0011,2025-02-01,134.54,Mid-Market
C0011,2025-03-01,134.54,Mid-Market
C0011,2025-04-01,134.54,Mid-Market
C0011,2025-05-01,134.54,Mid-Market
C0011,2025-06-01,134.54,Mid-Market
C0011,2025-07-01,134.54,Mid-Market
C0011,2025-08-01,134.54,Mid-Market
C0011,2025-09-01,134.54,Mid-Market
C0012,2024-10-01,331.41,Mid-Market
C0012,2024-11-01,331.41,Mid-Market
C0012,2024-12-01,331.41,Mid-Market
C0012,2025-01-01,357.1,Mid-Market
C0012,2025-02-01,357.1,Mid-Market
C0012,2025-03-01,357.1,Mid-Market
C0012,2025-04-01,357.1,Mid-Market
C0012,2025-05-01,357.1,Mid-Market
C0012,2025-06-01,357.1,Mid-Market
C0012,2025-07-01,357.1,Mid-Market
C0012,2025-08-01,357.1,Mid-Market
C0012,2025-09-01,357.1,Mid-Market
C0013,2024-10-01,54.5,Mid-Market
C0013,2024-11-01,54.5,Mid-Market
C0013,2024-12-01,54.5,Mid-Market
C0013,2025-01-01,54.5,Mid-Market
C0013,2025-02-01,54.5,Mid-Market
C0013,2025-03-01,54.5,Mid-Market
C0013,2025-04-01,54.5,Mid-Market
C0013,2025-05-01,54.5,Mid-Market
C0013,2025-06-01,46.64,Mid-Market
C0013,2025-07-01,46.64,Mid-Market
C0013,2025-08-01,46.64,Mid-Market
C0013,2025-09-01,46.64,Mid-Market
C0014,2022-02-01,416.88,Mid-Market
C0014,2022-03-01,416.88,Mid-Market
C0014,2022-04-01,416.88,Mid-Market
C0014,2022-05-01,416.88,Mid-Market
C0014,2022-06-01,416.88,Mid-Market
C0014,2022-07-01,416.88,Mid-Market
C0014,2022-08-01,416.88,Mid-Market
C0014,2022-09-01,416.88,Mid-Market
C0014,2022-10-01,416.88,Mid-Market
C0014,2022-11-01,416.88,Mid-Market
C0014,2022-12-01,416.88,Mid-Market
C0014,2023-01-01,416.88,Mid-Market
C0014,2023-02-01,416.88,Mid-Market
C0014,2023-03-01,416.88,Mid-Market
C0014,2023-04-01,416.88,Mid-Market
C0014,2023-05-01,416.88,Mid-Market
C0014,2023-06-01,416.88,Mid-Market
C0014,2023-07-01,416.88,Mid-Market
C0014,2023-08-01,416.88,Mid-Market
C0014,2023-09-01,416.88,Mid-Market
C0014,2023-10-01,416.88,Mid-Market
C0014,2023-11-01,416.88,Mid-Market
C0014,2023-12-01,416.88,Mid-Market
C0014,2024-01-01,416.88,Mid-Market
C0014,2024-02-01,416.88,Mid-Market
C0014,2024-03-01,416.88,Mid-Market
C0014,2024-04-01,416.88,Mid-Market
C0014,2024-05-01,416.88,Mid-Market
C0014,2024-06-01,416.88,Mid-Market
C0014,2024-07-01,416.88,Mid-Market
C0014,2024-08-01,416.88,Mid-Market
C0014,2024-09-01,416.88,Mid-Market
C0014,2024-10-01,416.88,Mid-Market
C0014,2024-11-01,416.88,Mid-Market
C0014,2024-12-01,485.16,Mid-Market
C0014,2025-01-01,485.16,Mid-Market
C0014,2025-02-01,485.16,Mid-Market
C0014,2025-03-01,442.44,Mid-Market
C0014,2025-04-01,442.44,Mid-Market
C0014,2025-05-01,442.44,Mid-Market
C0014,2025-06-01,442.44,Mid-Market
C0014,2025-07-01,442.44,Mid-Market
C0014,2025-08-01,468.86,Mid-Market
C0014,2025-09-01,468.86,Mid-Market
C0015,2022-06-01,123.96,Mid-Market
C0015,2022-07-01,123.96,Mid-Market
C0015,2022-08-01,123.96,Mid-Market
C0015,2022-09-01,123.96,Mid-Market
C0015,2022-10-01,123.96,Mid-Market
C0015,2022-11-01,123.96,Mid-Market
C0015,2022-12-01,123.96,Mid-Market
C0015,2023-01-01,123.96,Mid-Market
C0015,2023-02-01,148.43,Mid-Market
C0015,2023-03-01,148.43,Mid-Market
C0015,2023-04-01,148.43,Mid-Market
C0015,2023-05-01,148.43,Mid-Market
C0015,2023-06-01,148.43,Mid-Market
C0015,2023-07-01,148.43,Mid-Market
C0016,2024-09-01,116.1,SMB
C0016,2024-10-01,128.95,SMB
C0016,2024-11-01,128.95,SMB
C0016,2024-12-01,128.95,SMB
C0016,2025-01-01,128.95,SMB
C0016,2025-02-01,147.91,SMB
C0016,2025-03-01,147.91,SMB
C0016,2025-04-01,147.91,SMB
C0016,2025-05-01,147.91,SMB
C0016,2025-06-01,147.91,SMB
C0016,2025-07-01,147.91,SMB
C0016,2025-08-01,147.91,SMB
C0016,2025-09-01,147.91,SMB
C0017,2022-02-01,125.28,SMB
C0017,2022-03-01,125.28,SMB
C0017,2022-04-01,125.28,SMB
C0017,2022-05-01,125.28,SMB
C0017,2022-06-01,125.28,SMB
C0017,2022-07-01,125.28,SMB
C0017,2022-08-01,125.28,SMB
C0017,2022-09-01,125.28,SMB
C0017,2022-10-01,125.28,SMB
C0017,2022-11-01,125.28,SMB
C0017,2022-12-01,125.28,SMB
C0017,2023-01-01,125.28,SMB
C0017,2023-02-01,125.28,SMB
C0017,2023-03-01,125.28,SMB
C0017,2023-04-01,125.28,SMB
C0017,2023-05-01,125.28,SMB
C0017,2023-06-01,125.28,SMB
C0017,2023-07-01,125.28,SMB
C0017,2023-08-01,134.21,SMB
C0017,2023-09-01,134.21,SMB
C0017,2023-10-01,148.91,SMB
C0017,2023-11-01,148.91,SMB
C0017,2023-12-01,148.91,SMB
C0017,2024-01-01,148.91,SMB
C0017,2024-02-01,148.91,SMB
C0017,2024-03-01,148.91,SMB
C0017,2024-04-01,148.91,SMB
C0017,2024-05-01,148.91,SMB
C0017,2024-06-01,148.91,SMB
C0017,2024-07-01,148.91,SMB
C0017,2024-08-01,148.91,SMB
C0017,2024-09-01,148.91,SMB
C0017,2024-10-01,148.91,SMB
C0017,2024-11-01,148.91,SMB
C0017,2024-12-01,148.91,SMB
C0017,2025-01-01,176.65,SMB
C0017,2025-02-01,176.65,SMB
C0017,2025-03-01,189.63,SMB
C0017,2025-04-01,189.63,SMB
C0017,2025-05-01,189.63,SMB
C0017,2025-06-01,217.3,SMB
C0017,2025-07-01,217.3,SMB
C0017,2025-08-01,217.3,SMB
C0017,2025-09-01,217.3,SMB
C0018,2022-02-01,55.89,SMB
C0018,2022-03-01,55.89,SMB
C0018,2022-04-01,55.89,SMB
C0018,2022-05-01,55.89,SMB
C0018,2022-06-01,55.89,SMB
C0018,2022-07-01,55.89,SMB
C0018,2022-08-01,55.89,SMB
C0018,2022-09-01,55.89,SMB
C0018,2022-10-01,55.89,SMB
C0018,2022-11-01,55.89,SMB
C0018,2022-12-01,55.89,SMB
C0018,2023-01-01,55.89,SMB
C0018,2023-02-01,45.25,SMB
C0018,2023-03-01,45.25,SMB
C0018,2023-04-01,45.25,SMB
C0018,2023-05-01,45.25,SMB
C0018,2023-06-01,45.25,SMB
C0018,2023-07-01,45.25,SMB
C0018,2023-08-01,45.25,SMB
C0018,2023-09-01,45.25,SMB
C0018,2023-10-01,45.25,SMB
C0018,2023-11-01,45.25,SMB
C0018,2023-12-01,45.25,SMB
C0018,2024-01-01,45.25,SMB
C0018,2024-02-01,45.25,SMB
C0018,2024-03-01,45.25,SMB
C0018,2024-04-01,45.25,SMB
C0018,2024-05-01,41.56,SMB
C0018,2024-06-01,41.56,SMB
C0018,2024-07-01,41.56,SMB
C0018,2024-08-01,41.56,SMB
C0018,2024-09-01,41.56,SMB
C0018,2024-10-01,41.56,SMB
C0018,2024-11-01,41.56,SMB
C0018,2024-12-01,41.56,SMB
C0018,2025-01-01,41.56,SMB
C0018,2025-02-01,41.56,SMB
C0018,2025-03-01,41.56,SMB
C0018,2025-04-01,41.56,SMB
C0018,2025-05-01,46.54,SMB
C0018,2025-06-01,46.54,SMB
C0018,2025-07-01,46.54,SMB
C0018,2025-08-01,46.54,SMB
C0018,2025-09-01,46.54,SMB
C0019,2024-06-01,121.92,SMB
C0019,2024-07-01,121.92,SMB
C0019,2024-08-01,121.92,SMB
C0019,2024-09-01,121.92,SMB
C0019,2024-10-01,121.92,SMB
C0019,2024-11-01,121.92,SMB
C0019,2024-12-01,121.92,SMB
C0019,2025-01-01,144.37,SMB
C0019,2025-02-01,144.37,SMB
C0019,2025-03-01,144.37,SMB
